timestamp_utc	decision	why	evidence	result
2026-09-04T15:10:00Z	Keep one bounded measurement contract	The next architecture decision needs measured floors before selecting a worker or upstream compiler change	Bead genes-f8vc.9.4 and reconciled Oracle request orq_20260901T205018Z_068d349c	Measure callback-noop, one typed-structure scan, end-to-end generation, and publication-only; defer snapshot/replay and production changes
2026-09-04T15:10:00Z	Use compile-time-only callback modes	A private define can return before transaction setup and is absent from ordinary builds	src/genes/Generator.hx custom generator entry and existing genes.compile_stage_profile precedent	Callback-noop observes only callback entry metadata; structure-scan performs one documented declaration/body traversal and records counters
2026-09-04T15:10:00Z	Measure publication with a ready/go probe	Publication must exercise real OutputTransaction.commit without including candidate generation or staging in its external wall clock	src/genes/OutputTransaction.hx is plain Haxe sys code and owns production commit semantics	A Haxe probe stages a previously generated candidate, signals ready, waits for go, then commits while the Node parent owns wall timing
2026-09-04T15:10:00Z	Extend the existing compiler-stage report	A second report would duplicate compiler-server ownership, fixture generation, environment identity, and output-equality controls	scripts/compile-stage-report.ts and tests/compile-stage-report/README.md	One schema records interleaved warm boundary modes and the existing cold/warm end-to-end evidence
2026-09-04T15:04:00Z	Keep background timing out of architecture conclusions	The repository requires normal-priority quiet-host samples for latency evidence	Focused run shared the host with unrelated Haxe builds and used taskpolicy/nice	Use its green result only as correctness evidence
2026-09-04T15:04:00Z	Accept the four-mode focused contract	Each mode executed through its real owner and publication produced an exact candidate tree	yarn test:compile-stage-report passed in 165.93s at background priority	Schema, counters, process metrics, compiler-server lifecycle, both-profile output neutrality, TypeScript checking, and publication equality passed
2026-09-04T15:25:00Z	Include typed default expressions and default type parameters	TypedExprTools.iter does not visit function argument defaults, and TypeParameter stores an optional default type	Haxe 4.3.7 Type.hx and TypedExprTools.hx	The structure probe now follows both explicit compiler-owned edges
2026-09-04T15:29:00Z	Verify final focused and lifecycle owners	The benchmark branch changes custom-generator entry and uses the production transaction	Final yarn test:compile-stage-report passed in 114.11s; yarn test:output-transaction passed in 141.09s; yarn test:compiler-server passed in 960.21s	All runs used background priority and prove correctness only; normal quiet-host scale timing remains required
2026-09-04T15:36:00Z	Isolate changed-source validation per generation mode	One shared edited source lets only the first mode invalidate typed modules and biases later modes	Compiler-server cache ownership and harness request order	Callback-noop, structure-scan, and end-to-end now use identical independent source clones; each clone changes before its own request
2026-09-04T15:39:00Z	Verify independent mode invalidation	The focused gate creates, edits, and compiles every isolated mode fixture	Final yarn test:compile-stage-report passed in 102.33s at background priority	Correctness and exact-output evidence is green; timing remains non-conclusive
2026-09-04T15:45:25Z	Correct process metric precision and labels	Exact-head review showed Linux ps CPU is whole-second and 250 ms RSS observations are not a true process peak	PR 199 review comments 3935612135 and 3935612143	Use Linux proc clock ticks for generation CPU; use fractional ps only when available; rename memory to maxSampledRssBytes and disclose the 250 ms cadence
